Date,Description,Amount,Balance
2024-01-01,ADROIT SERVICES PAYROLL,2500.00,2500.00
2024-01-02,TARGET STORE #1234,-45.67,2454.33
2024-01-03,STARBUCKS COFFEE,-5.25,2449.08
2024-01-04,SHELL OIL GAS STATION,-52.00,2397.08
2024-01-05,CHIPOTLE MEXICAN GRILL,-12.50,2384.58
2024-01-06,CVS PHARMACY #5678,-28.99,2355.59
2024-01-07,NETFLIX SUBSCRIPTION,-15.99,2339.60
2024-01-08,WALMART SUPERCENTER,-87.43,2252.17
2024-01-09,PLANET FITNESS MEMBERSHIP,-10.00,2242.17
2024-01-10,AMAZON MARKETPLACE,-34.99,2207.18
2024-01-11,MCDONALDS RESTAURANT,-8.75,2198.43
2024-01-12,AT&T WIRELESS,-75.00,2123.43
2024-01-13,ZELLE TRANSFER TO JOHN,-50.00,2073.43
2024-01-14,RENT SERVICES,-1200.00,873.43
2024-01-15,ADROIT SERVICES PAYROLL,2500.00,3373.43
2024-01-16,STARBUCKS COFFEE,-5.25,3368.18
2024-01-17,TARGET STORE #1234,-62.34,3305.84
2024-01-18,UBER RIDE PASS,-25.00,3280.84
2024-01-19,SPOTIFY PREMIUM,-9.99,3270.85
2024-01-20,WHOLE FOODS MARKET,-95.67,3175.18
2024-01-21,SHELL OIL GAS STATION,-48.00,3127.18
2024-01-22,CHIPOTLE MEXICAN GRILL,-12.50,3114.68
2024-01-23,CVS PHARMACY #5678,-15.49,3099.19
2024-01-24,AMAZON MARKETPLACE,-127.99,2971.20
2024-01-25,STARBUCKS COFFEE,-5.25,2965.95
2024-01-26,TARGET STORE #1234,-41.23,2924.72
2024-01-27,MCDONALDS RESTAURANT,-9.50,2915.22
2024-01-28,ATM WITHDRAWAL,-100.00,2815.22
2024-01-29,PLANET FITNESS MEMBERSHIP,-10.00,2805.22
2024-01-30,NETFLIX SUBSCRIPTION,-15.99,2789.23
2024-01-31,ADROIT SERVICES PAYROLL,2500.00,5289.23
